ID Comet,NÚMERO de Estación,NOMBRE,DIRECCIÓN,BARRIO,COMUNA,EMPLAZAMIENTO,LATITUD,LONGITUD
517,332,PACÍFICO II,Av. Int. Bullrich 300,PALERMO,COMUNA 14,VEREDA,-3.457.441,-5.842.476
518,329,LAS CAÑITAS,Clay 2818,PALERMO,COMUNA 14,VEREDA,-34.574.070,-58.431.763
519,53,AV. DEL LIBERTADOR,Av Del Libertador 100,RETIRO,COMUNA 1,VEREDA,-3.459.311.755.507.600,-5.837.515.497.704.220
520,180,PARQUE OLÍMPICO,Av. Coronel Roca 3490,VILLA SOLDATI,COMUNA 8,PARQUE CERRADO,-34.672.892,-58.444.657
521,226,AV. WARNES,Av. Warnes 2150,LA PATERNAL,COMUNA 15,VEREDA,-34.596.385,-58.466.246
522,119,PLAZOLETA BENEDIT,Av. Raúl Scalabrini Ortiz 5,VILLA CRESPO,COMUNA 15,VEREDA,-3.460.225,-5.844.255
523,389,AV. ELCANO,Av. Elcano 2998,COLEGIALES,COMUNA 13,VEREDA,-34.557.878,-58.460.525
524,338,AV. CABILDO,Av. Cabildo 2586,BELGRANO,COMUNA 13,VEREDA,-34.557.878,-58.460.525
525,317,ESCUELA RAGGIO,Av. Libertador 8620,NUÑEZ,COMUNA 13,VEREDA,-34.536.534,-58.466.584
526,88,NÚÑEZ,"Av, Comodoro Martín Rivadavia 1680",NUÑEZ,COMUNA 13,VEREDA,-34.541.574,-58.463.431
527,68,AV. CORDOBA,Av. Cordoba 5403,VILLA CRESPO,COMUNA 15,VEREDA,-34.588.726.980.456.100,-5.843.839.673.233.920
528,42,SKATE PARK VILLA LURO,Av. Rivadavia 9301,VILLA LURO,COMUNA 10,VEREDA,-34.636.678,-58.495.337
19,19,PLAZA SAN MARTIN,Av. Santa Fe 716,RETIRO,COMUNA 1,PLAZOLETA,-34.595.314,-58.377.603
529,11,RIO DE JANEIRO,Río de Janeiro 205,ALMAGRO,COMUNA 5,VEREDA,-34.613.353,-58.430.031
530,31,PARQUE RIVADAVIA,Av Rivadavia 4750,CABALLITO,COMUNA 6,VEREDA,-34.616.582,-58.432.332
148,323,PARQUE AVELLANEDA II,Av. Directorio 4295,PARQUE AVELLANEDA,COMUNA 9,VEREDA,-3.464.506.517.912.780,-5.848.443.255.141.520
531,48,JOSE AMALFITANI,Juan Bautista Justo 6383,VERSALLES,COMUNA 10,VEREDA,-34.633.625,-58.521.090
532,72,INSTITUTO POLITECNICO MODELO,Av Constituyentes 5880,VILLA PUEYRREDON,COMUNA 12,VEREDA,-34.572.873,-58.504.065
533,77,CRISOLOGO LARRALDE,Galván 3601,SAAVEDRA,COMUNA 12,VEREDA,-34.560.896,-58.492.233
534,81,PARQUE DE LAS CIENCIAS,Soler 5300,PALERMO,COMUNA 14,VEREDA,-34.583.028,-58.429.904
535,90,HONORIO PUEYRREDON,Honorio Pueyrredón 1653,VILLA CRESPO,COMUNA 15,VEREDA,-34.602.557,-58.449.758
538,47,PARQUE DE LA INNOVACIÓN,Av. G. Udaondo 1146,NUÑEZ,COMUNA 13,VEREDA,-34.545.091,-58.451.432
